municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Coghlan,-34.5653209202,-58.4716025037,39.0,35.0,1.0,80000.0
Palermo,-34.5978249,-58.4164389,53.0,50.0,2.0,143000.0
Floresta,-34.6392656,-58.4786935,62.0,56.0,3.0,110000.0
Belgrano,-34.571326,-58.4443183,58.0,54.0,,139000.0
Tribunales,-34.6090405859,-58.4568808724,110.0,107.0,3.0,170000.0
Barracas,-34.6450454708,-58.3734789316,67.0,60.0,2.0,150000.0
Caballito,-34.6181838,-58.439478,43.0,41.0,,80000.0
Almagro,-34.6034481,-58.4243303,39.0,38.0,1.0,125000.0
Palermo,-34.5784942,-58.4345008,60.0,56.0,2.0,150000.0
Barrio Norte,,,125.0,115.0,,239000.0
San Cristobal,-34.6223398871,-58.4085322312,62.0,59.0,3.0,149000.0
Belgrano,-34.5601975,-58.4583332,103.0,88.0,,330000.0
Barracas,-34.6288802,-58.3782469,58.0,58.0,3.0,110000.0
Nuñez,-34.5412087746,-58.4656731747,54.0,49.0,,149000.0
Caballito,-34.6129863,-58.4328709,73.0,59.0,,149000.0
Palermo,-34.5755336,-58.433189,70.0,60.0,4.0,179500.0
Caballito,-34.6089061005,-58.4401600888,35.0,35.0,1.0,63500.0
Parque Patricios,-34.6355627,-58.4097415,60.0,60.0,3.0,120000.0
Monserrat,-34.616182,-58.3926968,55.0,55.0,3.0,80000.0
Caballito,-34.6076673,-58.4419894,52.0,36.0,2.0,105000.0
Belgrano,-34.5678925061,-58.4433589619,85.0,80.0,4.0,240000.0
Palermo,-34.599703,-58.407118,46.0,35.0,2.0,85000.0
Monserrat,-34.6186588,-58.3859275,52.0,50.0,2.0,60000.0
Balvanera,-34.6044647,-58.4064736,63.0,63.0,,112000.0
Villa Crespo,-34.5976607,-58.4304366,46.0,42.0,1.0,90000.0
Palermo,-34.5829764,-58.4208597,50.0,43.0,2.0,176900.0
Palermo,,,38.0,34.0,1.0,112677.0
Once,-34.6067327,-58.4000164,82.0,78.0,3.0,125000.0
Floresta,-34.6322076,-58.4851448,40.0,40.0,2.0,69000.0
San Telmo,-34.6172782,-58.3787392,55.0,55.0,,99000.0
Villa Pueyrredón,-34.5804062,-58.4811368,85.0,80.0,,225000.0
Palermo,-34.5900864,-58.4202008,80.0,68.0,,265000.0
Colegiales,-34.5779844,-58.4493434,50.0,50.0,,134000.0
Villa Luro,-34.6405283,-58.5294588,55.0,50.0,,150000.0
Barracas,-34.6362315,-58.3755151,61.0,57.0,3.0,145000.0
Villa Urquiza,-34.5716554,-58.5020382,42.0,40.0,,87000.0
Villa Lugano,,,60.0,60.0,4.0,55000.0
Congreso,-34.6094812,-58.3957247,84.0,84.0,3.0,169000.0
Villa Crespo,-34.5897986,-58.4395131,46.0,40.0,2.0,135000.0
Boca,-34.6418117,-58.3683936,51.0,51.0,2.0,65000.0
Boca,-34.6320749,-58.363104,63.0,63.0,3.0,89000.0
Flores,-34.6195604498,-58.4639646475,46.0,42.0,,125000.0
Belgrano,-34.5578215,-58.4519811,216.0,142.0,4.0,396000.0
Caballito,-34.6371994,-58.4391556,42.0,39.0,2.0,106250.0
Once,-34.6028565,-58.398429,75.0,50.0,2.0,126000.0
Monte Castro,-34.6184458,-58.4980726,91.0,83.0,,155000.0
Barrio Norte,-34.5993308,-58.3879666,140.0,140.0,5.0,305000.0
Barrio Norte,-34.5897253,-58.3936066,65.0,62.0,3.0,170000.0
Palermo,-34.5948568,-58.3958389,84.0,84.0,3.0,235000.0
San Cristobal,-34.6214167,-58.4103941,50.0,47.0,2.0,85000.0
Villa Crespo,-34.5960788124,-58.4398719788,72.0,64.0,,130000.0
Villa General Mitre,-34.61330943,-58.4679249898,48.0,48.0,3.0,90000.0
Parque Chacabuco,-34.633744,-58.448826,82.0,70.0,3.0,120000.0
Barracas,-34.6355261,-58.3876425,47.0,47.0,3.0,90000.0
Belgrano,-34.5533369,-58.4573332,42.0,38.0,1.0,120000.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,126446.0
Paternal,-34.5904622,-58.370987,51.0,46.0,2.0,79447.0
Belgrano,-34.5652742,-58.4715823,88.0,78.0,3.0,224000.0
Almagro,-34.5993957,-58.4280986,90.0,90.0,,140000.0
Barracas,-34.631241,-58.37316,135.0,135.0,5.0,265000.0
Palermo,-34.579799,-58.4296297,40.0,34.0,1.0,134000.0
Villa Luro,-34.6377975,-58.5020085,86.0,86.0,,164000.0
Nuñez,-34.5437117,-58.4621378,53.0,45.0,2.0,147000.0
Flores,-34.622597,-58.4637637,60.0,55.0,3.0,155000.0
Balvanera,-34.602799,-58.39699,72.0,58.0,3.0,89000.0
Caballito,-34.6130121,-58.4410942,160.0,148.0,4.0,340000.0
Nuñez,-34.5496870424,-58.467528104,55.0,50.0,,149000.0
Balvanera,-34.6011653,-58.4009468,36.0,36.0,,59000.0
San Nicolás,-34.6037137392,-58.3815808896,58.0,58.0,2.0,185000.0
Flores,-34.6186349,-58.478887,35.0,35.0,,59640.0
Puerto Madero,-34.6153103,-58.3619834,62.0,56.0,2.0,205095.0
Almagro,-34.6113322,-58.4210553,103.0,96.0,4.0,215000.0
Saavedra,-34.5574754877,-58.4805920344,70.0,60.0,2.0,168000.0
Retiro,-34.5936142,-58.3800404,50.0,50.0,2.0,160000.0
Palermo,-34.5889694,-58.3952626,103.0,76.0,4.0,315000.0
San Cristobal,-34.6156698,-58.390599,80.0,80.0,2.0,115000.0
Boca,-34.6324708,-58.3620253,110.0,98.0,4.0,170000.0
Recoleta,-34.5895459,-58.3973636,80.0,57.0,1.0,310000.0
Belgrano,-34.560857,-58.46749,53.0,45.0,2.0,158000.0
Recoleta,-34.5958218,-58.4028767,107.0,103.0,4.0,179900.0
Villa Crespo,-34.5943354,-58.4404535,106.0,96.0,3.0,200000.0
Villa Devoto,-34.5911545,-58.5101735,50.0,43.0,,117620.0
Parque Chacabuco,-34.634408,-58.4504145,91.0,81.0,,140000.0
Barracas,-34.632079,-58.3703766,54.0,48.0,2.0,147733.0
Almagro,-34.6157142,-58.4170204,47.0,45.0,1.0,95100.0
Belgrano,-34.5564985,-58.4655923,76.0,72.0,3.0,170000.0
Barrio Norte,-34.5884229,-58.3864376,86.0,86.0,2.0,350000.0
Balvanera,-34.6022257,-58.399104,115.0,115.0,,190000.0
Almagro,-34.6023228,-58.4294044,95.0,82.0,4.0,195000.0
Paternal,-34.6050835,-58.4608111,75.0,46.0,3.0,129500.0
Almagro,-34.6143196,-58.4259632,222.0,202.0,5.0,370000.0
Villa Luro,-34.6383938,-58.5058889,78.0,78.0,4.0,185000.0
Caballito,-34.6196851,-58.4451096,74.0,69.0,3.0,249000.0
Almagro,-34.6031950994,-58.4215840161,100.0,95.0,4.0,230000.0
Palermo,-34.5892799682,-58.4367102754,40.0,34.0,,105000.0
Villa Crespo,-34.5989208629,-58.4458254638,52.0,45.0,,125000.0
Villa Crespo,-34.6036844,-58.3815591,66.0,51.0,2.0,104000.0
Monserrat,-34.6133497,-58.38465,36.0,34.0,,84500.0
Caballito,-34.6159391,-58.4585423,67.0,45.0,2.0,125000.0
Palermo,-34.5861207,-58.4143458,76.0,59.0,,210000.0
Recoleta,-34.5930858,-58.4047026,95.0,81.0,4.0,245000.0
Boca,-34.626861,-58.365227,41.0,39.0,2.0,78000.0
Balvanera,-34.6119729,-58.4072179,81.0,81.0,,135000.0
Recoleta,-34.592822,-58.3847959,41.0,37.0,,143100.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,73536.95
Almagro,-34.6045547,-58.4182063,46.0,41.0,,119000.0
Boedo,,,52.0,52.0,,78000.0
Recoleta,-34.5889927,-58.4001326,40.0,35.0,1.0,215000.0
Villa del Parque,-34.6288131,-58.4722301,46.0,39.0,1.0,89681.0
Belgrano,-34.5628625,-58.4436593,160.0,150.0,4.0,310000.0
Parque Patricios,,,147.0,120.0,4.0,154500.0
Recoleta,-34.5952525271,-58.396130046,115.0,115.0,4.0,350000.0
Almagro,-34.6177126,-58.4217103,45.0,45.0,2.0,72000.0
Almagro,-34.6103271,-58.4260507,63.0,38.0,1.0,90000.0
Belgrano,-34.5624895863,-58.4592432485,210.0,126.0,4.0,395000.0
Tribunales,-34.6031545441,-58.3932320736,72.0,72.0,,145000.0
Balvanera,-34.6101223,-58.4059406,73.0,73.0,3.0,130000.0
Barrio Norte,-34.5835376,-58.4053183,53.0,50.0,,149000.0
Once,-34.6060331,-58.398382,85.0,77.0,3.0,124000.0
Recoleta,-34.5961276,-58.401505,150.0,150.0,4.0,330000.0
Recoleta,-34.5957352,-58.3986088,107.0,107.0,4.0,260000.0
San Telmo,-34.6207821,-58.3759225,63.0,45.0,2.0,80000.0
Palermo,-34.5741034,-58.4419019,57.0,57.0,1.0,140000.0
Villa Lugano,-34.6782802,-58.4882456,70.0,70.0,,78000.0
Villa Urquiza,-34.58233,-58.4735425,42.0,39.0,2.0,99120.0
Palermo,-34.5879608444,-58.4068188999,50.0,50.0,2.0,250000.0
Almagro,-34.6033462,-58.424137,112.0,103.0,4.0,195000.0
Barrio Norte,-34.5998165,-58.3914527,105.0,105.0,4.0,220000.0
Villa Crespo,,,37.0,36.0,2.0,80000.0
Balvanera,-34.6166442,-58.4109634,60.0,54.0,,133000.0
Colegiales,-34.5817888,-58.449509,59.0,52.0,2.0,156000.0
Paternal,-34.5958969,-58.4715637,47.0,42.0,,122000.0
Barracas,-34.6305666,-58.3716514,45.0,42.0,,80000.0
Recoleta,-34.590518,-58.388665,40.0,35.0,1.0,183000.0
Retiro,-34.5977692,-58.3753957,58.0,55.0,2.0,126000.0
Palermo,-34.5768933,-58.4306228,73.0,63.0,3.0,210000.0
Villa Devoto,-34.5993371549,-58.485000192,47.0,42.0,,103000.0
Recoleta,-34.5983728,-58.3973356,85.0,82.0,3.0,210000.0
Almagro,-34.6001596,-58.4191305,39.0,37.0,2.0,95000.0
San Nicolás,-34.6037137392,-58.3815808896,49.0,37.0,1.0,110000.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,96483.95
Boca,-34.6363128686,-58.3590330957,128.0,103.0,5.0,155000.0
Caballito,-34.6246256,-58.4531908,52.0,52.0,,120000.0
Recoleta,-34.5951698271,-58.3900615127,59.0,59.0,1.0,270000.0
Saavedra,-34.557199,-58.480847,48.0,40.0,1.0,120000.0
Flores,-34.6264398,-58.4594193,65.0,56.0,3.0,151006.93
Centro / Microcentro,-34.6040941,-58.3923691,50.0,50.0,,105000.0
Palermo,-34.5917998504,-58.4265886534,39.0,39.0,2.0,115000.0
Belgrano,-34.5600767,-58.4463618,44.0,40.0,2.0,195000.0
Villa Urquiza,-34.5780621,-58.4952915,43.0,38.0,2.0,97800.0
Belgrano,-34.5674017,-58.4424865,83.0,83.0,,249000.0
Villa Urquiza,-34.586582,-58.4710108,43.0,35.0,2.0,105000.0
Palermo,-34.5828157,-58.4219256,91.0,87.0,4.0,165000.0
Once,-34.6116145,-58.4056064,80.0,80.0,3.0,149000.0
Saavedra,-34.5475074,-58.4842066,68.0,52.0,2.0,145000.0
San Cristobal,-34.6207414,-58.4047617,50.0,44.0,2.0,84000.0
Boca,-34.6287756455,-58.3658953037,54.0,51.0,3.0,85000.0
San Telmo,-34.6206226,-58.3684327,51.0,47.0,2.0,120000.0
Barrio Norte,-34.5910899,-58.4008309,83.0,74.0,3.0,200000.0
Liniers,-34.577168,-58.538654,45.0,45.0,2.0,68000.0
Congreso,-34.607673,-58.389289,46.0,46.0,3.0,84000.0
Retiro,-34.5965341,-58.3809608,72.0,72.0,3.0,144500.0
Barrio Norte,-34.5958704,-58.3919534,70.0,70.0,1.0,200000.0
Liniers,-34.6388382,-58.5290425,39.0,39.0,2.0,58000.0
Belgrano,-34.5675735,-58.4711972,76.0,50.0,2.0,155000.0
Balvanera,-34.6031837,-58.4074928,96.0,96.0,,180000.0
Parque Centenario,-34.60808733,-58.43089266,97.0,45.0,2.0,125000.0
San Cristobal,-34.6200825,-58.3895203,57.0,53.0,2.0,120000.0
Villa del Parque,-34.6128601,-58.4922702,48.0,43.0,2.0,94900.0
Nuñez,-34.5495227,-58.4692294,57.0,47.0,2.0,146000.0
Villa Crespo,-34.5957216,-58.4307706,70.0,60.0,,143000.0
Almagro,-34.6030082652,-58.4207466902,124.0,119.0,5.0,225000.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,73536.95
Belgrano,,,86.0,75.0,3.0,306990.45
Palermo,-34.5744172,-58.4374328,83.0,83.0,3.0,192000.0
Almagro,-34.6027891,-58.4250133,97.0,87.0,4.0,189500.0
Caballito,-34.6176481,-58.4619167,47.0,42.0,1.0,111810.57
Balvanera,-34.6067737,-58.4097289,50.0,50.0,3.0,105000.0
Flores,-34.6286026,-58.4669149,48.0,41.0,2.0,100000.0
Boedo,-34.6212894,-58.420993,44.0,40.0,,110000.0
Colegiales,-34.5789278,-58.4559767,45.0,38.0,1.0,120000.0
Saavedra,-34.5566182,-58.4793743,55.0,55.0,3.0,110000.0
Flores,-34.6352242,-58.4676975,76.0,63.0,3.0,139000.0
Colegiales,-34.5729942,-58.454319,66.0,59.0,3.0,140000.0
Floresta,-34.6037137392,-58.3815808896,62.0,44.0,1.0,75000.0
Villa Urquiza,-34.5647507,-58.4891059,90.0,70.0,3.0,189000.0
Palermo,-34.5688186,-58.4360816,97.0,85.0,4.0,259000.0
Caballito,-34.6063416,-58.4464868,40.0,37.0,1.0,91200.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,83336.62
San Telmo,,,55.0,50.0,2.0,119636.0
Caballito,-34.6134875,-58.4428593,46.0,41.0,,110000.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,119930.0
Recoleta,-34.595836,-58.390389,164.0,164.0,4.0,330000.0
Flores,-34.622597,-58.4637637,60.0,55.0,3.0,155000.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,118110.0
Mataderos,,,39.0,35.0,,105000.0
Paternal,-34.6145386963,-58.4762577092,50.0,50.0,2.0,90000.0
Puerto Madero,-34.6148218,-58.362074,78.0,74.0,,295000.0
Flores,-34.628108,-58.45876,113.0,113.0,3.0,192000.0
Parque Patricios,-34.6299244,-58.4098381,64.0,50.0,,129500.0
Caballito,-34.6168016,-58.4480741,50.0,50.0,,82000.0
Palermo,-34.5984584,-58.4123565,84.0,76.0,4.0,197000.0
Barracas,-34.632304,-58.373396,141.0,90.0,5.0,280000.0
Parque Centenario,-34.6034502,-58.43508,37.0,37.0,1.0,84000.0
Centro / Microcentro,-34.5973812,-58.3798478,34.0,34.0,,94000.0
Once,-34.602701,-58.4049474,42.0,38.0,1.0,88000.0
Palermo,-34.5854783,-58.4418691,45.0,39.0,2.0,109000.0
Villa General Mitre,-34.6174612,-58.4711826,43.0,38.0,,84000.0
Boedo,-34.6267877662,-58.4184618574,50.0,45.0,,121739.47
Once,-34.6105899,-58.4126561,72.0,72.0,3.0,120000.0
Villa Crespo,-34.6073276,-58.4572415,184.0,106.0,3.0,159500.0
Palermo,-34.5871429,-58.4361649,68.0,47.0,,110000.0
San Cristobal,-34.6265359,-58.3930741,60.0,60.0,3.0,77000.0
Boedo,-34.6270753,-58.42001,50.0,45.0,2.0,113452.5
San Telmo,-34.6107904311,-58.3802715265,64.0,61.0,,105000.0
Balvanera,-34.6112172399,-58.3990741449,105.0,105.0,4.0,189000.0
Almagro,-34.607317,-58.4200017,50.0,47.0,,91800.0
Palermo,-34.5963928985,-58.4230445653,65.0,35.0,,110000.0
Parque Patricios,-34.6351461824,-58.4071500959,34.0,34.0,,67000.0
Colegiales,-34.5704605,-58.451504,95.0,89.0,4.0,235000.0
Colegiales,-34.574537,-58.4554388,71.0,63.0,3.0,200044.26
Belgrano,-34.5642834,-58.4395493,62.0,36.0,1.0,128000.0
Barrio Norte,,,48.0,43.0,3.0,139900.0
Belgrano,-34.5674802,-58.4323654,60.0,55.0,2.0,200000.0
Monserrat,-34.6156378,-58.3904158,91.0,80.0,4.0,146000.0
Barracas,-34.63335,-58.377469,66.0,58.0,3.0,149000.0
Barrio Norte,-34.5969175,-58.4021054,126.0,100.0,5.0,330000.0
Monserrat,-34.6166189862,-58.3851364503,78.0,78.0,3.0,115000.0
Paternal,-34.5904622,-58.370987,52.0,46.0,2.0,108576.0
Palermo,-34.5979435834,-58.415852535,52.0,50.0,,126000.0
Saavedra,-34.5574843235,-58.4806254921,179.0,117.0,4.0,375000.0
Almagro,-34.5982154569,-58.4272289729,96.0,90.0,4.0,185000.0
Villa Crespo,-34.59475,-58.4398737,115.0,80.0,3.0,196500.0
Palermo,-34.5896225,-58.4326904,81.0,73.0,3.0,300000.0
Barracas,-34.6525038,-58.3848615,130.0,120.0,1.0,130000.0
Monserrat,-34.6188615,-58.3885322,36.0,36.0,,62000.0
Villa Ortuzar,-34.578929,-58.4838433,80.0,52.0,,170000.0
Belgrano,-34.5548123,-58.4396756,45.0,42.0,1.0,117000.0
Villa Crespo,-34.6007308,-58.4300086,38.0,34.0,2.0,81000.0
Floresta,-34.6306898,-58.479597,67.0,60.0,3.0,110000.0
Villa Urquiza,-34.5666787241,-58.4793809703,56.0,56.0,2.0,153000.0
Villa Pueyrredón,-34.5939737,-58.4925931,169.0,85.0,3.0,190000.0
Boca,-34.6277946,-58.3590976,57.0,57.0,2.0,65000.0
Boedo,-34.5994747627,-58.4155515307,38.0,38.0,1.0,83500.0
Saavedra,-34.5515484854,-58.4825581312,121.0,83.0,4.0,318000.0
Colegiales,-34.575485,-58.4437822,48.0,48.0,3.0,99000.0
Barracas,-34.6322572341,-58.3702987529,49.0,43.0,,85900.0
Villa Urquiza,-34.5688712,-58.4884216,44.0,40.0,1.0,108633.0
Villa Urquiza,-34.5747633,-58.4828695,43.0,39.0,1.0,90000.0
Puerto Madero,-34.6153103,-58.3619834,51.0,47.0,2.0,182000.0
Parque Patricios,-34.6302777,-58.3994391,66.0,63.0,4.0,99000.0
Belgrano,-34.5502004,-58.4535346,65.0,62.0,3.0,210000.0
Caballito,-34.6073064,-58.4305691,42.0,40.0,1.0,88000.0
Monserrat,-34.6130871,-58.3813599,39.0,36.0,,79000.0
Boedo,-34.6260531,-58.4202372,85.0,49.0,2.0,181622.66
Flores,-34.6288596,-58.4747612,98.0,93.0,,139000.0
Villa Urquiza,-34.5733709,-58.4781172,69.0,64.0,3.0,159000.0
Saavedra,-34.5508362,-58.4895904,80.0,75.0,4.0,140000.0
Caballito,-34.628088,-58.446798,185.0,156.0,4.0,400000.0
Caballito,-34.6166402,-58.435817,100.0,70.0,3.0,250000.0
Villa Urquiza,-34.5889045,-58.5065126,79.0,71.0,3.0,182000.0
Belgrano,-34.5599793922,-58.4461906259,46.0,40.0,2.0,180000.0
Caballito,-34.6232916,-58.4356934,54.0,54.0,,158000.0
Abasto,-34.603367,-58.4095145,41.0,38.0,1.0,78800.0
Floresta,-34.6247442,-58.4874628,53.0,50.0,2.0,90000.0
Saavedra,-34.5469102,-58.47859,49.0,43.0,2.0,109000.0
Caballito,-34.6045189,-58.4584262,55.0,51.0,2.0,120000.0
Caballito,-34.6132024,-58.4330886,66.0,62.0,3.0,159622.74
Almagro,-34.6036554,-58.4167791,53.0,53.0,,109000.0
Parque Patricios,-34.6284233,-58.3857072,133.0,109.0,,145000.0
Barrio Norte,-34.595688,-58.4031864,102.0,100.0,3.0,235000.0
Almagro,-34.610593,-58.4122703,82.0,82.0,3.0,135000.0
Centro / Microcentro,-34.6039262,-58.3763769,48.0,48.0,,82000.0
Palermo,-34.5818163,-58.4434509,40.0,35.0,1.0,118000.0
San Cristobal,-34.6207818,-58.3985397,50.0,46.0,,99000.0
Palermo,-34.5631948,-58.4399963,38.0,35.0,1.0,130000.0
Caballito,-34.6077391,-58.4465012,55.0,50.0,,139000.0
Palermo,-34.5829813,-58.4208496,51.0,44.0,,167000.0
Parque Patricios,-34.6299244,-58.4098381,77.0,70.0,,255500.0
Palermo,-34.5854115,-58.4434737,64.0,60.0,,183500.0
Flores,-34.6256074,-58.4558554,43.0,39.0,2.0,94900.0
Boca,-34.6279,-58.360859,43.0,43.0,2.0,68000.0
Floresta,-34.6324789,-58.4792631,55.0,38.0,2.0,105000.0
Villa Pueyrredón,-34.5939737,-58.4925931,169.0,85.0,3.0,190000.0
San Telmo,-34.6234917,-58.3770467,40.0,40.0,2.0,89000.0
Caballito,-34.6046683,-58.4579128,43.0,38.0,,82000.0
San Telmo,-34.6233348,-58.3748384,39.0,39.0,1.0,80600.0
Caballito,-34.6210252,-58.4332695,37.0,37.0,2.0,80000.0
Recoleta,-34.5973416807,-58.3959430277,105.0,103.0,,210000.0
Villa Luro,-34.6425051,-58.504856,40.0,40.0,,75000.0
Chacarita,-34.5833867,-58.4516194,63.0,58.0,3.0,214000.0
Monserrat,-34.6165504,-58.3838114,83.0,83.0,3.0,143000.0
Monserrat,-34.6150121,-58.3790009,49.0,45.0,2.0,101000.0
San Cristobal,-34.6223398871,-58.4085322312,63.0,57.0,3.0,146000.0
Flores,-34.6194965,-58.4640892,53.0,50.0,,112700.0
Palermo,-34.5730139407,-58.4295100815,54.0,54.0,,160000.0
Villa Crespo,-34.6047969,-58.454126,45.0,40.0,2.0,95000.0
Recoleta,-34.5915339,-58.398222,81.0,81.0,,259000.0
Boedo,-34.63099,-58.4201892,59.0,43.0,,89000.0
Villa Urquiza,-34.570884,-58.4886936,64.0,47.0,,124267.0
Monserrat,-34.6150732,-58.3792849,42.0,35.0,,85000.0
Boca,-34.6333237,-58.3600617,70.0,70.0,4.0,140000.0
Palermo,-34.5972965,-58.4308423,80.0,60.0,3.0,210000.0
Villa Urquiza,-34.5671066,-58.4723916,59.0,54.0,2.0,168781.0
San Telmo,-34.6159201,-58.3711598,136.0,136.0,4.0,230000.0
Once,-34.6042668,-58.4076791,154.0,145.0,4.0,195000.0
Centro / Microcentro,-34.6022182,-58.3781223,156.0,152.0,6.0,235000.0
Colegiales,-34.5729054,-58.4517992,50.0,43.0,,125000.0
Saavedra,-34.557199,-58.480847,66.0,56.0,2.0,165000.0
Almagro,-34.6030082652,-58.4207466902,124.0,119.0,4.0,225000.0
Villa Crespo,-34.5982525,-58.4303011,41.0,39.0,2.0,85000.0
Recoleta,-34.5947219,-58.3939969,81.0,66.0,3.0,360000.0
Palermo,-34.582317,-58.4057003,52.0,45.0,2.0,142000.0
Flores,-34.6264398,-58.4594193,68.0,56.0,2.0,165344.69
Villa Urquiza,-34.570884,-58.4886936,50.0,40.0,,107192.0
Recoleta,-34.5896393,-58.4012811,129.0,127.0,,280000.0
Balvanera,-34.6162622,-58.4044354,46.0,46.0,3.0,70000.0
Barracas,-34.6317798,-58.3714702,38.0,36.0,2.0,72000.0
Balvanera,-34.6083588,-58.3977644,100.0,100.0,,170000.0
Tribunales,-34.6017707,-58.384459,173.0,145.0,4.0,280000.0
Palermo,-34.5825981444,-58.4223095471,125.0,95.0,3.0,340000.0
Palermo,-34.5859299,-58.4404055,44.0,34.0,1.0,98000.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,85118.97
San Telmo,-34.6269408,-58.3725301,157.0,81.0,2.0,365000.0
Palermo,-34.5879341,-58.4144257,52.0,44.0,1.0,165000.0
Velez Sarsfield,-34.6318743,-58.4839401,60.0,60.0,,106000.0
San Cristobal,-34.6207414,-58.4047617,50.0,44.0,2.0,84000.0
Boca,-34.631585,-58.362934,49.0,49.0,2.0,90000.0
Barracas,-34.62301,-58.3954919,41.0,37.0,,85000.0
Almagro,-34.6095289,-58.4245895,92.0,86.0,4.0,225000.0
San Cristobal,-34.6223398871,-58.4085322312,49.0,41.0,2.0,153000.0
Caballito,-34.629478,-58.45214,48.0,39.0,2.0,101750.0
Parque Patricios,-34.6303192,-58.4008815,40.0,36.0,1.0,95000.0
San Telmo,-34.6232754889,-58.3740855051,92.0,82.0,4.0,135000.0
Villa Urquiza,-34.5635682,-58.4916086,58.0,50.0,,90000.0
San Telmo,,,52.0,47.0,2.0,121163.0
Boca,-34.633062,-58.35832,35.0,35.0,2.0,57000.0
Monte Castro,-34.61903,-58.5033054,48.0,41.0,2.0,99900.0
Recoleta,-34.5824961,-58.4102772,100.0,91.0,4.0,270000.0
Almagro,-34.619727433,-58.4242390577,53.0,48.0,2.0,125000.0
Caballito,-34.6083004601,-58.442084868,77.0,71.0,3.0,149000.0
Almagro,-34.6096418,-58.418654,58.0,58.0,,115000.0
San Telmo,,,52.0,47.0,2.0,118110.0
Villa Urquiza,-34.5731507,-58.482362,76.0,65.0,3.0,193853.0
Balvanera,-34.6035511,-58.4053066,171.0,161.0,1.0,215000.0
Villa Urquiza,-34.570833,-58.4803271,132.0,81.0,3.0,249000.0
Balvanera,-34.6008774,-58.3942414,166.0,155.0,,370000.0
Barrio Norte,-34.5971971,-58.3901412,47.0,47.0,2.0,105000.0
Palermo,-34.5829764,-58.4208597,51.0,44.0,,176900.0
Belgrano,-34.567095,-58.4522701,50.0,43.0,2.0,129000.0
Almagro,-34.601051,-58.416345,40.0,40.0,2.0,79900.0
Puerto Madero,-34.616034713,-58.3618516418,50.0,50.0,,240000.0
Boca,-34.6304511996,-58.3617249085,108.0,108.0,4.0,120000.0
Colegiales,-34.580146,-58.4648168,87.0,51.0,3.0,137000.0
Flores,-34.6281162,-58.461324,36.0,36.0,1.0,76000.0
Villa Crespo,-34.5945508,-58.4421781,45.0,40.0,1.0,100000.0
Recoleta,-34.5949108,-58.4078106,69.0,65.0,4.0,149000.0
Palermo,-34.584179,-58.440216,60.0,52.0,2.0,164000.0
Recoleta,-34.5819649,-58.406838,100.0,100.0,3.0,255000.0
Flores,-34.6256447,-58.4611155,41.0,37.0,,81480.0
Barrio Norte,-34.598486,-58.38414,82.0,82.0,,220000.0
Boca,-34.6389662,-58.3590032,43.0,43.0,2.0,55000.0
Mataderos,-34.5499007,-58.5518909,284.0,260.0,7.0,220000.0
Flores,-34.6186349,-58.478887,35.0,35.0,,55000.0
San Telmo,-34.616486,-58.375979,66.0,57.0,3.0,110000.0
Villa Lugano,-34.6856698,-58.4817763,45.0,45.0,2.0,90000.0
Caballito,-34.625884,-58.4342905,72.0,56.0,,195000.0
Villa Urquiza,-34.5664873409,-58.4893800725,60.0,50.0,2.0,98000.0
San Telmo,-34.6234793,-58.37716,47.0,44.0,2.0,92000.0
Villa Crespo,-34.6003579,-58.4372479,85.0,80.0,4.0,150000.0
Belgrano,-34.5636486,-58.4404005,127.0,116.0,4.0,320000.0
Palermo,-34.5840778,-58.4228061,45.0,40.0,2.0,93000.0
Flores,-34.6205573,-58.4650952,71.0,67.0,3.0,170000.0
Belgrano,-34.5605032026,-58.46487789,80.0,40.0,2.0,129000.0
Palermo,-34.5789941431,-58.4255711132,83.0,83.0,3.0,140000.0
Barrio Norte,-34.5965341,-58.3809608,72.0,72.0,3.0,145000.0
Saavedra,-34.5538467,-58.4920942,40.0,35.0,1.0,75572.85
Villa del Parque,-34.577168,-58.538654,97.0,90.0,4.0,189000.0
Belgrano,-34.5683283,-58.4719439,90.0,82.0,3.0,200000.0
Las Cañitas,-34.5679842,-58.4337564,71.0,63.0,2.0,271000.0
Recoleta,-34.5953421021,-58.405410881,75.0,65.0,,250000.0
Agronomía,-34.5877864,-58.5110465,93.0,45.0,2.0,127000.0
Palermo,-34.5931886,-58.4246144,58.0,58.0,3.0,125000.0
San Cristobal,-34.6223398871,-58.4085322312,62.0,59.0,3.0,169000.0
Palermo,-34.5709649,-58.4403013,41.0,41.0,2.0,125000.0
Almagro,-34.6045433,-58.4182362,77.0,74.0,,142500.0
Belgrano,-34.5600767,-58.4463618,82.0,76.0,3.0,375000.0
Almagro,-34.6122578,-58.4149356,36.0,36.0,2.0,70000.0
